resort,region,country,latitude,longitude,rating,beginner,intermediate,advanced,elev_base,elev_summit,elev_vertical,longest_run,snow_making,lifts_double,lifts_quad,lifts_surface,terrain_apres,terrain_family,terrain_allmnt,terrain_park,ratingcount
beech-mountain-resort,north-carolina,usa,36.195288714285056,-81.87757654655398,3.2,0.3,0.4,0.3,4675,5505,830,1,95,4,1,1,2.2,3.7,2.7,2.5,71
belleayre,new-york,usa,42.132244,-74.50531,3.3,0.22,0.58,0.1,2025,3429,1404,2.2,164,2,1,3,2.1,3.8,2.8,2.4,73
berkshire-east,massachusetts,usa,42.622665,-72.87838,3.1,0.37,0.44,0.17,540,1720,1180,2,150,1,2,2,2,3.7,2.7,2.3,26
big-bear,pennsylvania,usa,41.522423,-75.023575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
big-boulder,pennsylvania,usa,41.110004000000004,-75.65123,3.1,1,0,0,1700,2175,600,0,55,5,0,1,2.1,3.7,2.6,2.4,36
big-powderhorn-mountain,michigan,usa,46.509743,-90.0942,3.2,0.3,0.42,0.24,1200,1800,600,1,228,9,0,1,2.1,3.7,2.7,2.4,54
big-sky-resort,montana,usa,45.283436,-111.40037,3.9,0.15,0.25,0.42,6800,11166,4350,6,400,6,3,11,3.1,4.1,3.8,3.6,105
big-squaw-mountain-ski-resort,maine,usa,45.506718,-69.702019,3.2,0.33,0.34,0.33,1750,3200,660,0.8,NA,0,0,0,2.1,3.7,2.6,2.3,7
big-white,british-columbia,can,49.744446,-118.93528,3.8,NA,NA,NA,4948,7608,2549,4.5,0,3,0,5,3.4,3.9,3.8,3.4,47
bittersweet-ski-area,michigan,usa,42.467159,-85.75872,3.2,0.3,0.4,0.3,450,850,350,0.2,100,0,1,4,2.2,3.7,2.6,2.4,42
black-mountain,new-hampshire,usa,44.166679,-71.16378,3.1,0.33,0.34,0.08,1250,2350,1100,1.6,140,1,0,3,2.1,3.7,2.6,2.2,11
blackjack-ski-resort,michigan,usa,46.504238,-89.998184,3.2,0.16,0.32,0.44,385,850,465,1,86,4,0,2,1.9,3.3,2.7,2.4,19
blacktail-mountain-ski-area,montana,usa,48.014843,-114.36958,3.2,0.15,0.7,0.15,5236,6676,1440,0.7,0,2,0,1,2.2,3.8,2.7,2.2,13
